timestamps,CAN_DataFrame.CAN_DataFrame.BusChannel,CAN_DataFrame.CAN_DataFrame.IDE,CAN_DataFrame.CAN_DataFrame.DLC,CAN_DataFrame.CAN_DataFrame.DataLength,CAN_DataFrame.CAN_DataFrame.Dir,CAN_DataFrame.CAN_DataFrame.EDL,CAN_DataFrame.CAN_DataFrame.BRS,CAN_DataFrame.CAN_DataFrame.ID,CAN_DataFrame.CAN_DataFrame.DataBytes
209.69445000000005,1,0,8,8,0,0,0,7E8,03 41 11 51 FF FF FF FF
209.71005,1,0,8,8,1,0,0,7DF,02 01 5E 55 55 55 55 55
209.73005000000003,1,0,8,8,1,0,0,7DF,02 01 1F 55 55 55 55 55
209.73445,1,0,8,8,0,0,0,7E8,04 41 1F 01 76 FF FF FF
209.79005000000004,1,0,8,8,1,0,0,7DF,02 01 0A 55 55 55 55 55
209.81005000000002,1,0,8,8,1,0,0,7DF,02 01 0B 55 55 55 55 55
209.81450000000004,1,0,8,8,0,0,0,7E8,03 41 0B 58 FF FF FF FF
209.83005,1,0,8,8,1,0,0,7DF,02 01 0C 55 55 55 55 55
209.83445000000003,1,0,8,8,0,0,0,7E8,04 41 0C 23 6C FF FF FF
209.85005000000004,1,0,8,8,1,0,0,7DF,02 01 0D 55 55 55 55 55
209.85465000000002,1,0,8,8,0,0,0,7E8,03 41 0D 3A FF FF FF FF
209.87005000000002,1,0,8,8,1,0,0,7DF,02 01 10 55 55 55 55 55
209.89005,1,0,8,8,1,0,0,7DF,02 01 11 55 55 55 55 55
209.89470000000003,1,0,8,8,0,0,0,7E8,03 41 11 51 FF FF FF FF
209.91005000000004,1,0,8,8,1,0,0,7DF,02 01 5E 55 55 55 55 55
209.9301,1,0,8,8,1,0,0,7DF,02 01 1F 55 55 55 55 55
209.93465,1,0,8,8,0,0,0,7E8,04 41 1F 01 77 FF FF FF
209.9901,1,0,8,8,1,0,0,7DF,02 01 0A 55 55 55 55 55
210.01005,1,0,8,8,1,0,0,7DF,02 01 0B 55 55 55 55 55
210.01450000000003,1,0,8,8,0,0,0,7E8,03 41 0B 59 FF FF FF FF
210.03005000000005,1,0,8,8,1,0,0,7DF,02 01 0C 55 55 55 55 55
210.03485000000003,1,0,8,8,0,0,0,7E8,04 41 0C 23 AC FF FF FF
210.05005000000003,1,0,8,8,1,0,0,7DF,02 01 0D 55 55 55 55 55
