timestamps,S1_PID_0C_EngineRPM
15.400849999999991,2538.0
15.60084999999998,2538.0
15.800899999999984,2548.0
16.001199999999983,2555.0
16.201249999999987,2559.0
16.400999999999982,2564.0
16.601,2571.0
16.80204999999998,2578.0
17.0009,2584.0
17.20104999999998,2592.0
17.401049999999998,2580.0
17.601349999999996,2604.0
17.80109999999999,2602.0
18.00109999999998,2611.0
18.201149999999984,2620.0
18.40134999999998,2628.0
18.601199999999977,2630.0
18.801199999999994,2520.0
19.00109999999998,2260.0
19.201299999999975,2011.0
19.40115,1731.0
19.601049999999987,1474.0
19.801049999999975,1236.0
20.001299999999986,1108.0
20.201099999999997,1102.0
20.401099999999985,1054.0
20.601199999999977,981.0
20.801299999999998,921.0
21.001149999999996,855.0
21.2012,855.0
21.401299999999992,896.0
21.601199999999977,889.0
21.80114999999998,861.0
22.001199999999983,869.0
22.201149999999984,873.0
22.40115,873.0
22.601349999999996,882.0
22.801299999999998,896.0
23.00139999999999,904.0
23.201299999999975,908.0
23.397249999999985,912.0
23.60145,916.0
23.801349999999985,923.0
24.001499999999993,925.0
24.20139999999998,923.0
24.396899999999988,921.0
24.60159999999999,907.0
24.8014,906.0
25.001449999999977,895.0
25.20134999999999,892.0
25.401549999999986,901.0
25.601399999999984,897.0
25.801499999999976,886.0
26.001749999999987,888.0
26.201449999999994,907.0
26.401600000000002,887.0
26.601499999999987,888.0
26.80144999999999,908.0
27.00154999999998,906.0
27.20184999999998,907.0
27.401600000000002,904.0
27.601499999999987,910.0
27.801499999999976,918.0
28.0017,915.0
28.20165,901.0
28.401699999999977,917.0
28.601799999999997,920.0
28.801699999999983,889.0
29.001599999999996,882.0
29.201749999999976,878.0
29.401899999999983,905.0
29.60174999999998,903.0
29.801699999999983,886.0
30.001949999999994,893.0
51.00344999999999,1487.0
51.203299999999984,1443.0
51.40334999999999,1478.0
51.60329999999999,1482.0
51.80314999999999,1459.0
52.003299999999996,1452.0
52.203599999999994,1453.0
52.4033,1466.0
52.603549999999984,1478.0
52.803499999999985,1487.0
53.0035,1501.0
53.1994,1514.0
53.40349999999998,1523.0
53.60344999999998,1558.0
53.80355,1561.0
54.00354999999999,1559.0
54.20354999999998,1519.0
54.403549999999996,1605.0
54.6036,1526.0
54.80359999999999,1564.0
55.00364999999999,1571.0
55.2037,1533.0
55.40375,1523.0
55.6037,1511.0
55.80369999999999,1493.0
56.00369999999998,1474.0
56.203749999999985,1461.0
56.403549999999996,1434.0
56.60374999999999,1418.0
56.80445,1404.0
57.00389999999999,1405.0
57.203749999999985,1389.0
57.40375,1439.0
57.60389999999998,1426.0
57.803650000000005,1412.0
58.00364999999999,1465.0
58.20384999999999,1420.0
58.40384999999998,1455.0
58.603849999999994,1437.0
58.80369999999999,1471.0
59.00399999999999,1439.0
59.20394999999999,1430.0
59.403699999999986,1461.0
59.60395,1426.0
59.803799999999995,1412.0
60.00395,1401.0
60.20399999999998,1364.0
60.4042,1336.0
60.60379999999998,1289.0
60.805049999999994,1262.0
61.00404999999998,1228.0
61.204049999999995,1203.0
61.40394999999998,1236.0
61.60405,1168.0
61.80409999999998,1202.0
62.00389999999999,1205.0
62.20415,1213.0
62.40424999999999,1233.0
62.60409999999999,1254.0
62.80409999999998,1275.0
63.00414999999998,1286.0
63.20425,1300.0
63.4042,1306.0
63.60419999999999,1318.0
63.80419999999998,1317.0
64.0042,1334.0
64.20429999999999,1351.0
64.40429999999998,1376.0
64.6043,1411.0
64.80445,1454.0
65.00434999999999,1489.0
65.2054,1525.0
65.40459999999999,1599.0
65.6045,1659.0
65.80454999999998,1712.0
66.00455,1785.0
66.20439999999999,1837.0
66.40459999999999,1889.0
66.60419999999999,1946.0
66.80419999999998,2010.0
67.00459999999998,2058.0
67.20425,2104.0
67.40429999999998,2157.0
67.60424999999998,2216.0
67.80425,2278.0
68.0043,2301.0
68.20435,2350.0
68.40449999999998,2392.0
68.60454999999999,2435.0
68.80519999999999,2478.0
69.00444999999999,2510.0
69.2047,2470.0
69.40460000000002,2295.0
69.6046,2063.0
69.80009999999999,1803.0
70.00459999999998,1550.0
70.20465000000002,1296.0
70.40465,1180.0
70.60464999999999,1079.0
70.8046,966.0
71.00459999999998,887.0
71.2047,880.0
71.40469999999999,1332.0
71.60455000000002,1571.0
71.8048,1520.0
72.00459999999998,1538.0
72.20504999999997,1500.0
72.40474999999998,1501.0
72.6046,1470.0
72.80489999999998,1467.0
73.00470000000001,1494.0
73.20474999999999,1510.0
73.40485000000001,1540.0
73.60485,1543.0
73.80489999999998,1567.0
74.00489999999996,1604.0
74.20490000000001,1637.0
74.40485000000001,1659.0
74.60474999999997,1690.0
74.80495000000002,1708.0
75.00484999999998,1738.0
75.20499999999998,1766.0
75.40505000000002,1800.0
75.60609999999997,1839.0
75.8048,1861.0
76.00484999999998,1877.0
76.20519999999999,1903.0
76.40494999999999,1926.0
76.60500000000002,1954.0
76.805,1982.0
77.00489999999996,2005.0
77.20495,2034.0
77.40505000000002,2054.0
77.60494999999997,2099.0
77.80495000000002,2113.0
78.00509999999997,2128.0
78.20519999999999,2143.0
78.40519999999998,2176.0
78.6051,2199.0
78.80505,2215.0
79.00524999999999,2246.0
79.20524999999998,2261.0
79.40505000000002,2291.0
79.6051,2312.0
79.80534999999998,2343.0
80.00540000000001,2350.0
80.20549999999997,2350.0
80.40539999999999,2361.0
80.60525000000001,2359.0
80.80525,2350.0
81.00614999999999,2350.0
81.20544999999998,2339.0
81.40539999999999,2327.0
81.6055,2332.0
81.80540000000002,2327.0
