timestamps,S1_PID_05_EngineCoolantTemp
314.0214,84.0
315.02145,84.0
316.02155,84.0
317.02160000000003,84.0
318.0217,84.0
319.02175,84.0
337.0231,84.0
338.0231,84.0
339.0232,84.0
340.0239,84.0
341.0235,85.0
342.0235,85.0
343.02345,85.0
344.0235,86.0
345.02365,86.0
346.02365,86.0
347.02395,86.0
348.02380000000005,86.0
349.02385000000004,87.0
350.02395,87.0
351.0241,88.0
352.02405,88.0
353.02414999999996,88.0
354.02420000000006,88.0
355.02430000000004,88.0
356.02445,89.0
357.0248,89.0
358.02465000000007,89.0
359.02455,89.0
360.02465000000007,89.0
361.025,89.0
362.0248,90.0
363.02485,90.0
364.02605000000005,90.0
365.025,90.0
366.02504999999996,90.0
367.02515000000005,90.0
368.02520000000004,91.0
369.02535,91.0
370.02535,91.0
371.02555000000007,91.0
