timestamps,ParameterID_Service01
5.400650000000013,11
5.420749999999998,12
5.440650000000005,13
5.480450000000019,17
5.5204000000000235,31
5.6004500000000235,11
5.620500000000021,12
5.641250000000014,13
5.6804500000000075,17
5.7207500000000095,31
5.800450000000012,11
5.820700000000016,12
5.840699999999998,13
5.880500000000012,17
5.920700000000011,31
6.000500000000017,11
6.021550000000019,12
6.040700000000015,13
6.076150000000013,17
6.120550000000009,31
6.160650000000004,5
6.200550000000021,11
6.2207500000000095,12
6.24045000000001,13
6.276450000000011,17
6.320600000000013,31
6.40055000000001,11
6.420700000000011,12
6.440500000000014,13
6.480500000000006,17
6.520750000000021,31
6.600600000000014,11
6.620550000000009,12
6.640600000000006,13
6.680599999999998,17
6.7207500000000095,31
6.796450000000021,11
6.8206500000000005,12
6.84050000000002,13
6.8817000000000235,17
6.920500000000004,31
7.000799999999998,11
7.021000000000015,12
7.040649999999999,13
7.080500000000001,17
7.120650000000012,31
7.160650000000004,5
7.200550000000021,11
7.221750000000014,12
7.2406500000000165,13
7.2806500000000085,17
7.3206500000000005,31
7.400599999999997,11
7.4208500000000015,12
7.440800000000024,13
7.476550000000003,17
7.520700000000005,31
7.600549999999998,11
7.620650000000012,12
7.640749999999997,13
7.680850000000021,17
7.720850000000013,31
7.800750000000022,11
7.820600000000013,12
7.840699999999998,13
7.880600000000015,17
7.92055000000002,31
8.00060000000002,11
8.021150000000006,12
8.04065,13
8.080550000000017,17
8.12190000000001,31
8.160600000000017,5
8.200600000000009,11
8.220700000000022,12
8.24075000000002,13
8.280600000000021,17
8.320750000000004,31
8.400650000000013,11
8.420749999999998,12
8.440650000000005,13
8.48060000000001,17
8.520850000000024,31
8.600700000000018,11
8.620800000000003,12
8.640600000000006,13
8.680700000000002,17
8.720650000000006,31
8.800600000000003,11
8.820999999999998,12
8.84065000000001,13
8.880650000000003,17
8.920600000000007,31
9.000650000000007,11
9.020850000000024,12
9.040900000000022,13
9.080750000000023,17
9.120650000000012,31
9.160899999999998,5
9.200700000000012,11
9.22075000000001,12
9.240700000000004,13
9.280700000000024,17
9.321100000000001,31
9.4007,11
9.420749999999998,12
9.440700000000021,13
9.480700000000013,17
9.520700000000005,31
9.600900000000024,11
9.620800000000003,12
9.640950000000004,13
9.680700000000002,17
9.720700000000022,31
9.800700000000006,11
9.821050000000014,12
9.840699999999998,13
9.880800000000022,17
9.920950000000005,31
10.00075000000001,11
10.020850000000024,12
10.040750000000003,13
10.080700000000007,17
10.121350000000007,31
10.160800000000023,5
10.20075,11
10.220800000000025,12
10.241150000000005,13
